reindex,Index,CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ELEVATION (MIN.),ELEVATION (MAX.),ROCK NAME,ROCK TEXTURE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),ALTERATION,LITHOLOGY CODE,SPOT,CRYSTAL,RIM/CORE (MINERAL GRAINS),GRAIN SIZE,PRIMARY/SECONDARY,V(PPM),MN(PPM),AS(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),U(PPB),ND143_ND144,Eu/Eu* 
5717,25892,[26664] ZHANG XIN (2023),samp. PJ3–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,XIEDAISHAN NINGGUO-GUANGDE REGION,30.5822,30.5822,118.8214,118.8214,subaerial,,,GRANODIORITE,MEDIUM-GRAINED,,,,missing,PJ3-1-10,,,,primary,6.04,,,,292,730,0.55,,1.03,431,1254,169,820,190,17.5,170,23.2,131,25,59,7.66,45.2,5.84,3.66,,15.2,6.99,,,0.159760711
5718,25893,[26664] ZHANG XIN (2023),samp. PJ3–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,XIEDAISHAN NINGGUO-GUANGDE REGION,30.5822,30.5822,118.8214,118.8214,subaerial,,,GRANODIORITE,MEDIUM-GRAINED,,,,missing,PJ3-1-11,,,,primary,4.21,,,,283,1319,0.6,,0.74,558,1588,219,1126,279,18.9,282,40.1,230,43.5,109,14.4,80.7,10.6,4.28,,29.7,20.6,,,0.085835759
5719,25894,[26664] ZHANG XIN (2023),samp. PJ3–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,XIEDAISHAN NINGGUO-GUANGDE REGION,30.5822,30.5822,118.8214,118.8214,subaerial,,,GRANODIORITE,MEDIUM-GRAINED,,,,missing,PJ3-1-12,,,,primary,4.09,,,,300,737,0.57,,0.75,492,1364,187,904,212,20.6,195,26.4,144,26.8,66,8.16,47.7,6.49,4.06,,15.1,7.72,,,0.155210942
5720,25895,[26664] ZHANG XIN (2023),samp. PJ3–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,XIEDAISHAN NINGGUO-GUANGDE REGION,30.5822,30.5822,118.8214,118.8214,subaerial,,,GRANODIORITE,MEDIUM-GRAINED,,,,missing,PJ3-1-13,,,,primary,13.7,,,,344,583,0.83,,1,487,1307,171,795,169,16.2,157,20.4,112,20.9,50.3,6.45,35.7,4.76,3.84,,9.43,4.37,,,0.169796865
5721,25896,[26664] ZHANG XIN (2023),samp. PJ3–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,XIEDAISHAN NINGGUO-GUANGDE REGION,30.5822,30.5822,118.8214,118.8214,subaerial,,,GRANODIORITE,MEDIUM-GRAINED,,,,missing,PJ3-1-14,,,,primary,0.64,,,,259,711,0.22,,0.5,121,383,61.7,378,137,14.9,181,26.4,151,27.9,63.8,7.06,36.6,4.42,2.914,,5.11,4.95,,,0.15045446
5722,25897,[26664] ZHANG XIN (2023),samp. PJ3–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,XIEDAISHAN NINGGUO-GUANGDE REGION,30.5822,30.5822,118.8214,118.8214,subaerial,,,GRANODIORITE,MEDIUM-GRAINED,,,,missing,PJ3-1-15,,,,primary,1,,,,299,1015,0.55,,0.39,494,1446,201,1070,256,25.5,262,34.7,196,36.6,90.1,11.5,62.8,8.31,4.25,,17.6,13.5,,,0.130129741
5723,25898,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-1,,,,primary,6.02,,,,273,788,0.81,,0.68,532,1498,213,1017,227,29.6,211,27.1,145,26.7,65.7,7.72,45.2,6.19,3.7,,24.7,8.81,,,0.199183787
5724,25899,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-2,,,,primary,5.54,,,,310,395,0.25,,1.05,363,952,130,606,130,15.7,117,14.8,77,13.6,31.7,3.85,21.7,2.98,3.86,,12.7,5.75,,,0.251767561
5725,25900,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-3,,,,primary,6.48,,,,343,441,0.37,,1.17,395,1035,138,659,137,19.9,125,15.5,83,15.6,36,4.44,26.5,3.84,3.94,,15.6,6.02,,,0.29096479
5726,25901,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-4,,,,primary,2.54,,,,266,331,0.12,,1,245,664,94.3,444,96.9,10.65,87,11.3,61,11,27.2,3.74,22.6,3.15,3.93,,3.24,1.96,,,0.266027249
5727,25902,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-5,,,,primary,6.18,,,,246,890,0.67,,0.93,471,1282,187,930,225,22.5,218,28.6,156,29.1,70.3,9.53,58.8,8.17,4.04,,20.2,7.92,,,0.147194785
5728,25903,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-6,,,,primary,5.63,,,,290,774,0.73,,1.13,592,1551,220,1080,239,27.5,228,29,152,26.8,63.1,7.77,44.9,6.25,4.34,,26.8,9.64,,,0.166900083
5729,25904,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-7,,,,primary,6.61,,,,321,735,0.54,,1.42,359,1023,161,859,217,28.9,214,28.2,149,26.6,62,7.22,41.1,5.29,3.96,,18.6,7.37,,,0.196115473
5730,25905,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-8,,,,primary,6.61,,,,201,1197,0.45,,0.51,508,1377,207,1125,274,20.8,289,36.5,204,38,96.4,12.27,77.8,12.48,7.48,,26.4,15.1,,,0.093013903
5731,25906,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-9,,,,primary,6.93,,,,271,934,0.86,,1.11,540,1501,216,1083,244,25.3,233,30.6,161,30,73.1,9.64,60.9,8.92,4.47,,25.7,9.14,,,0.148705607
5732,25907,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-10,,,,primary,6.56,,,,267,831,0.75,,0.86,595,1574,223,1101,246,26.1,238,29.9,163,29.2,71,8.95,49.9,7.13,4.28,,31.5,10,,,0.149573155
5733,25908,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-11,,,,primary,5.41,,,,270,948,0.77,,0.62,664,1687,234,1157,255,26.3,240,31.4,164,30.8,75,10.2,62.7,9.2,4.11,,31.6,10.8,,,0.146802034
5734,25909,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-12,,,,primary,6.65,,,,276,801,0.44,,1.1,574,1554,220,1122,245,24.5,234,29.4,153,28,65.6,8.73,54.9,8.24,4.02,,22.5,8.45,,,0.143095126
5735,25910,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-13,,,,primary,6.19,,,,307,630,0.5,,0.32,382,1043,148,719,161,23.5,155,19.7,109,20.2,50.9,6.73,41,6.55,3.53,,18.9,7.79,,,0.255611791
5736,25911,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-14,,,,primary,7,,,,314,759,0.67,,1.14,637,1681,226,1055,219,29.1,194,25.2,140,25.8,62,8.22,48.1,6.83,5.04,,27,9.43,,,0.216833739
5737,25912,[26664] ZHANG XIN (2023),samp. XC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,YUNLE NINGGUO-GUANGDE REGION,30.4698,30.4698,118.6322,118.6322,subaerial,,,GRANODIORITE,FINE-GRAINED,,,,missing,XC1-1-15,,,,primary,4.72,,,,298,731,0.69,,0.95,382,1085,162,849,203,24.9,203,25.9,139,25.6,60.3,7.5,44.3,6.09,4.54,,21.6,8.82,,,0.184167481
5738,25913,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-1,,,,primary,14.9150171,,,,365.9808284,898.227178,0.821859676,,1.060252372,818.4061269,2098.639425,273.5385643,1245.70711,249.2507059,18.16153614,228.5470515,31.41754401,170.0458035,32.40101845,80.65735873,9.774948302,56.14715748,7.324758009,3.005699209,,9.414264669,4.806752681,,,0.107675381
5739,25914,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-2,,,,primary,0.056520413,,,,402.7586717,1009.483008,0.195222897,,1.317800195,978.6879725,2464.404139,325.6029737,1459.312989,291.4360356,22.08548788,269.0603495,35.51491199,190.2836782,38.03733708,88.93258732,11.26909245,60.22003613,8.036020488,2.894369366,,8.518201426,5.65769497,,,0.102859244
5740,25915,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-3,,,,primary,27.52861034,,,,346.3169887,842.4057236,6.012401988,,0.379057145,675.4335258,1661.482922,225.1669283,1058.661623,224.1357403,17.22734216,202.9023172,28.02349549,149.5001159,28.54471302,71.62511198,8.772408094,50.69972766,6.750030922,3.210147183,,6.935369917,1.75242675,,,0.121320271
5741,25916,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-4,,,,primary,0.547581309,,,,376.8280603,1270.353018,0.791167819,,0.695530571,1061.092005,2614.272625,349.2658739,1628.919091,340.3663677,24.41365563,319.4502254,42.73872051,232.1806587,45.65577726,111.6691224,14.02925628,77.71550876,10.35833909,3.171892486,,14.16625116,7.558531857,,,0.088616369
5742,25917,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-5,,,,primary,0.289189781,,,,385.0912079,1091.038986,0.34329927,,0.730495151,951.5005567,2348.587909,312.394952,1433.890219,293.8176411,21.06781968,278.2234273,36.92242571,199.4536592,37.9015738,95.3860628,11.98792694,68.77400981,9.019465331,2.848752361,,11.67200053,6.426201026,,,0.094502788
5743,25918,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-6,,,,primary,26.97346249,,,,336.3475557,906.8145797,0.916604137,,0.543177244,818.2007668,2033.343446,270.227155,1241.275054,249.248116,17.61098621,236.9004922,31.37348796,172.1515256,32.40561331,80.32459261,9.478892422,53.5299978,6.696954496,4.422028587,,10.96302599,4.585969075,,,0.100730138
5744,25919,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-7,,,,primary,0.831063191,,,,303.1528121,1364.092442,0.487844221,,0.61073146,966.9435749,2556.286286,342.5439172,1615.619133,340.9434086,24.20648323,327.662886,44.97297527,250.8389244,49.00315898,124.0943653,15.51792727,88.96662479,11.79151859,3.343754304,,20.41949696,9.281092196,,,0.085589592
5745,25920,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-8,,,,primary,20.39072056,,,,354.1458285,859.7666237,5.680602672,,0.130061702,652.7950667,1702.167934,228.6492988,1074.71555,219.3910382,15.54193704,208.0130462,28.54467378,154.4754075,30.04068534,73.27167766,9.091252402,50.86889316,6.904541311,4.267463574,,7.013417148,2.554627641,,,0.107910272
5746,25921,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-9,,,,primary,0.235857783,,,,361.2998017,1346.049156,0.612219981,,0.650215558,1156.049139,2857.966216,380.4888934,1775.523934,369.0653569,25.37193878,347.4952842,46.59750807,255.7431049,49.2368706,121.5032992,14.81733334,82.66009911,10.55730262,3.201727322,,20.46515247,12.53075696,,,0.081303784
5747,25922,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-10,,,,primary,0.213691305,,,,370.6380119,2182.675376,0.680502879,,1.031332524,1458.005481,3685.272169,507.2614326,2364.693167,526.9408438,35.29784836,531.9180218,74.1530557,416.4752311,81.45975872,199.3095937,24.51725203,143.1620411,18.01072784,3.317151533,,26.23322239,12.57402761,,,0.061841534
5748,25923,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-11,,,,primary,0.654369913,,,,325.8895192,1073.490116,0.203249882,,0.737481642,766.9423249,1999.76384,267.4094485,1227.696275,265.382766,18.87245379,249.4038316,34.29203169,190.5672257,37.7945832,93.52860368,11.86325249,66.64069653,8.775458348,3.124587834,,9.094529199,5.235792002,,,0.099368
5749,25924,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-12,,,,primary,0.215759343,,,,348.8631022,1513.660658,2.705152496,,0.736286617,1128.571895,2868.794762,384.2499733,1779.068783,374.6558255,27.2476593,357.1783776,49.77175654,276.5684255,54.63214483,135.0977772,17.03869915,99.10461321,13.21940241,3.595847556,,48.15963649,53.37277026,,,0.084311235
5750,25925,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-13,,,,primary,21.41379958,,,,324.1490965,979.0917508,0.328364332,,0.602668823,764.6356668,1911.657847,257.6132459,1199.794841,257.1428531,16.90156714,235.9864636,33.04437714,180.028711,34.99317826,86.93804925,10.71327202,60.40473399,7.780219553,3.344480085,,11.01000291,5.366044729,,,0.095545516
5751,25926,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-14,,,,primary,14.78076881,,,,323.4249705,1104.245814,0.436271881,,0.361561385,772.8312749,1934.218884,263.1885974,1242.882461,266.4510347,19.05083218,256.8401833,35.08440824,195.8152154,38.18528587,97.80652481,12.09959289,72.29206904,9.311237421,4.092460389,,14.42700459,6.066328463,,,0.097207535
5752,25927,[26664] ZHANG XIN (2023),samp. LC1–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.6971,30.6971,119.2601,119.2601,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC1-1-15,,,,primary,0.381313971,,,,327.2975729,3569.766013,1.550206009,,0.666046502,1806.880552,4743.39495,674.2495194,3265.816112,773.3851018,48.28610108,801.6308791,116.2243744,652.6203385,129.009396,325.2463234,39.81150242,234.0846097,29.85915521,3.839109026,,61.59934562,20.72607105,,,0.046334818
5753,25928,[26664] ZHANG XIN (2023),samp. LC2–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.7144,30.7144,119.2871,119.2871,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC2-1-1,,,,primary,0.82636218,,,,350.8102936,1022.534598,0.300266706,,0.732556263,847.359215,2111.839499,288.4247165,1296.368874,263.4671775,19.09445322,247.4716086,34.63144963,188.0493571,36.90494792,95.65828804,12.13794984,66.80084964,8.802902097,3.154147803,,10.29913693,6.29937393,,,0.101689531
5754,25929,[26664] ZHANG XIN (2023),samp. LC2–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.7144,30.7144,119.2871,119.2871,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC2-1-2,,,,primary,0.498764767,,,,354.9762325,1881.266947,1.184674941,,0.674721276,1526.014079,3922.793769,521.9157285,2367.73334,495.3670832,34.51239045,450.323858,62.96113746,350.1715896,66.57885713,169.2426843,22.02930572,119.8059279,16.36514712,3.515205468,,39.58800355,17.7218838,,,0.073662113
5755,25930,[26664] ZHANG XIN (2023),samp. LC2–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.7144,30.7144,119.2871,119.2871,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC2-1-3,,,,primary,1.721624931,,,,351.5388612,1018.493657,1.08220886,,0.476272808,751.3860814,1875.841811,255.7100343,1174.43778,249.7841556,18.35729008,236.6272283,32.75810641,184.8200784,35.39184001,93.05523042,11.81589193,65.53993721,8.623887779,2.854938651,,8.624666566,4.579155436,,,0.105007198
5756,25931,[26664] ZHANG XIN (2023),samp. LC2–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.7144,30.7144,119.2871,119.2871,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC2-1-4,,,,primary,1.31981155,,,,319.2281717,1958.004876,1.151750282,,0.532582748,1303.205824,3340.287037,463.0875752,2135.230182,466.6978897,30.40510659,454.7321269,62.02952062,348.7333811,69.00210607,178.9100023,24.0285864,140.3716962,20.39376256,4.144836782,,43.15139608,16.40896988,,,0.066211074
5757,25932,[26664] ZHANG XIN (2023),samp. LC2–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.7144,30.7144,119.2871,119.2871,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC2-1-5,,,,primary,0.312012891,,,,359.5402916,956.0802968,0.172556284,,0.81573981,678.6945352,1674.030153,229.8151736,1074.4783,236.7227061,16.24270748,232.7646518,31.33263599,175.2739454,34.89554308,84.97705055,10.55833782,57.2896763,7.521783525,2.973400569,,7.110415856,4.335753533,,,0.097023982
5758,25933,[26664] ZHANG XIN (2023),samp. LC2–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.7144,30.7144,119.2871,119.2871,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC2-1-6,,,,primary,0.413263026,,,,398.7053595,1917.654567,0.954783627,,1.025550117,1605.765551,4010.33593,543.4291962,2527.498739,536.4760033,36.10170033,501.2419612,67.24593464,369.1658303,72.01974815,173.380708,21.10697083,115.5010862,15.02169318,3.501675912,,32.99166702,15.17227978,,,0.066521609
5759,25934,[26664] ZHANG XIN (2023),samp. LC2–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.7144,30.7144,119.2871,119.2871,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC2-1-7,,,,primary,0.405705584,,,,341.8033254,1160.500227,0.440115225,,1.084281687,819.2194975,2074.103484,289.9907181,1312.683533,282.8089157,19.76477978,268.9188149,37.35327676,208.5663178,41.87742968,106.4398683,13.50841039,80.39872733,10.52368581,3.160407623,,12.3005522,6.680988759,,,0.093493604
5760,25935,[26664] ZHANG XIN (2023),samp. LC2–1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE,SIHE NINGGUO-GUANGDE REGION,30.7144,30.7144,119.2871,119.2871,subaerial,,,MONZOGRANITE,PORPHYRITIC,,,,missing,LC2-1-8,,,,primary,0.630938064,,,,338.0897566,996.0793804,0.692883237,,0.640719893,679.3476647,1752.374142,237.3309336,1084.211594,241.9835167,16.4852014,237.5502282,32.06058998,184.9634972,35.92874999,90.79743682,11.47259965,63.67761223,8.335982923,2.753566898,,10.06658481,4.564547469,,,0.095434097
